Dataset name,Data system name,Organization/Agency,Organization Collecting or Managing,Website,Contact Name,Contact email,Contact phone,Description,Purpose,Source Dataset,Type of Data,Data collection method,Years collected,Data Storage format,Data Storage Location,Database Size,Is the dataset available to the public?,Data user / Audience,Data output format,Use Restriction Details,Type of Use Restriction,Special Request Possible,Special Request Cost,Special Request Contact Info,Metadata,Data Documentation,Metadata Format,Acquisition cost,Operations and Management Cost,FTE,Funding -%Federal,Funding: %State,Funding: %Private,Funding: %Foundation,VHCIP Priority,Is Data Related to Payment Reform,Comments,Last Updated By,VT HIT Inv: Integrated systems,VT HIT Inv: Integrated data feeds,VT HIT Inv: Divisions served,VT HIT Inv: Where is data stored
Electronic HIV/AIDS Reporting System (eHARS),Electronic HIV/AIDS Reporting System (eHARS),Department of Health (AHS) / Division of Health Surveillance,,http://healthvermont.gov/prevent/aids/hiv_surveillance.aspx#data,Alex Goode,,,"Complete data available 1983 through 2013.  The system is updated as data is received. The system is updated as labs and case report forms are received at the health department, several times a week. Data is uploaded to CDC at the end of every month.<br />",,,Population,,1983-2013,,,,,,,,None,No,,,Low,,,,,,,,,,Low,No,,Barbara Patterson,,,,
EARS (Early Aberration Reporting System),EARS (Early Aberration Reporting System),Department of Health (AHS) / Division of Health Surveillance,,http://healthvermont.gov/enviro/tire_burn/med_plan.aspx,Bradley Tompkins,,,"Designed to capture and analyze recent Emergency department visit data for trends and signals of abnormal activity that may indicate the occurrence of events significant to public health (eg. outbreaks, unusual illnesses)<br />All Individual ED visits from participating Vermont hospitals (FAHC, CVH, Copley, BMH, NCH, SVMC)",,,"Services Provided
Clinical",,,,,,,,,Data is maintained and tracked by an epidemiologist in the Infectious Disease Section.  (As of Jan 2014-Bradley Tompkins)  ,None,No,,,Low,,,,,,,,,,Low,No,,Barbara Patterson,,,,
Washington County Mental Health Crisis Services Scorecard ,Washington County Mental Health Crisis Services Scorecard ,Washington County Mental Health Services (WCMHS) / ,,https://www.wcmhs.org/crisis-data.html,,,,Washington County Mental Health Services is committed to the Results Based Accountability (RBA) evaluation framework. Below is our Crisis Services Scorecard which answers the questions:<br />Results Scorecard software: http://resultsscorecard.com/<br /><br />“How much do we do?” “How well do we do it?” and “Is anyone better off?” on programmatic and population levels.<br /><br />This Scorecard is a very important lens in aiding in our consistent review of the effectiveness and quality of our programming. <br />,,,"Survey
Services Provided
Population",,,,,,No,"Policymakers
Public",Web Application - Restricted Access,,None,No,,,Low,,,,,,,,,,Low,No,,Barbara Patterson,,,,
Evaluation of Child and Adolescent Mental Health Programs By Young People Served in Vermont ,Evaluation of Child and Adolescent Mental Health Programs By Young People Served in Vermont ,Department of Mental Health / ,,http://mentalhealth.vermont.gov/sites/dmh/files/data/satisfactionsurvey/DMH-2013_CAFU_Satisfaction_Survey.pdf,Emma Harrigan,emma.harrigan@state.vt.us,,"Evaluation of Child and Adolescent Mental Health Programs is a series of reports that are part of our on-going effort to monitor child and adolescent mental health programs in Vermont from multiple perspectives.<br />Results from surveys of four groups (adolescents who received services, SRS caseworkers, education staff, and parents of children and adolescents served) are used with other measures of program performance drawn from other existing data bases to provide a more complete picture of the performance of local community mental health programs.<br />Reports completed and available at this time include the following. A shorter, less technical Executive Summary is available for each report as well. ",,,Services Provided,,"1997, 1999-2004, 2006-2013",,,,,"Administrators
Public","Report (PDF, Word)",,None,No,,,Low,,,,,,,,,,Low,No,,Charlie Hofmann,,,,
Consumer Evaluation of Community Rehabilitation and Treatment Programs in Vermont,Consumer Evaluation of Community Rehabilitation and Treatment Programs in Vermont,Department of Mental Health / ,,http://mentalhealth.vermont.gov/report/survey#adult,Emma Harrigan,emma.harrigan@state.vt.us,(802) 828-1705,Community mental health services for adults with serious mental illness in Vermont are provided by Community Rehabilitation and Treatment (CRT) Programs administered by ten designated agencies. The FY2013 survey of consumers served by CRT programs in Vermont is one part of a larger effort to monitor CRT program performance from the perspective of service recipients. These evaluations will be used in conjunction with measures of program performance drawn from existing databases to provide a more complete picture of the performance of local programs. The combined results of these evaluations will allow a variety of stakeholders to compare the performance of community-based mental health programs in Vermont and to support local programs in their ongoing quality-improvement process. ,,,Utilization,,"2006-2013,2003,2000,1997",,,,,"Administrators
Public","Report (PDF, Word)",,None,No,,,Low,,,,,,,,,,Low,No,,Charlie Hofmann,,,,
Vermont's Statewide Report on Kindergarten Readiness,Vermont's Statewide Report on Kindergarten Readiness,Department of Health (AHS) / ,,http://education.vermont.gov/early-education/kindergarten-readiness,Manuela Fonseca ,manuela.fonseca@state.vt.us,(802) 479-1418,"Since 2000, Vermont has gathered information on the readiness of children entering<br />kindergarten by surveying kindergarten teachers about their students’ knowledge and skills<br />within the first six to ten weeks of school. The effort to measure school readiness is a<br />collaborative project of the Vermont Agency of Education (AOE), the Department for Children<br />and Families, and the Department of Health. ",,,"Survey
Population",,2000-2014,,,,,"Legislators
Advocates
Administrators
Policymakers
Public","Report (PDF, Word)",,Agency restriction,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Charlie Hofmann,,,,
Tooth Tutor Program,Tooth Tutor Program,Department of Health (AHS) / ,,http://healthvermont.gov/family/dental/tooth-tutor.aspx,Robin Miller,robin.n.miller@state.vt.us,(802) 863-7272,"A dental professional will help the school nurse update dental information in each child's school health file, assisting families who currently do not have a dentist to find a dental home for their child/children and providing a free dental screening to these children upon request.",,,Population,,"2010, 2011, 2012",,,,Yes,,CSV - Comma Separated Text File,,Agency Data Use Agreement,Yes,,,Low,,,,,,,,,,Low,No,,Barbara Patterson,,,,
WIC MIS/EBT Ceres Application ,WIC MIS/EBT Ceres Application ,Department of Health (AHS) / Division of Maternal and Child Health,,http://healthvermont.gov/wic/MISEBT_Project.aspx,Donna Bister,donna.bister@state.vt.us,,"WIC Clinic Services, Intake, Education, Certification, Benefit Issuance        ( Nutrition interview, Medical Testing ( Blood), Risk factors, Certifcation of WIC eligibilty per USDA FNS rules, Scheduling).  <br />2. Retail Vendor ( Grocery stores) Management ( Compliance and Support) <br />3. WIC Program Financial Management<br />4. WIC EBT Food Management <br />5. WIC Reporting ( Program, Financial and Federal) <br /><br />Vermont WIC has initiated an implementation project to bring WIC services up to 21st century standards.  Following  a multi-year planning process, Vermont WIC will transfer and install the Mountain Plains State Consortium (MPSC) management information system (MIS) to replace the current 35-year-old mainframe MIS.  Vermont WIC will also phase out home delivery of WIC food benefits and implement online electronic benefits transfer (EBT), allowing WIC families to shop for their food benefits in WIC authorized retail grocery stores.<br />UAT as of January 2015<br /><br />The Ceres application has nearly 200 reports built in. WIC staff may have different levels of permissions for reports. However, almost all of them will be accessible by District Offices without requesting reports from State Office. Ceres automates production of these kinds of reports, on demand. This means that authorized personnel will be able to produce these reports at the District Office level, whenever they are needed. We have a subproject to figure out the roles of each type of staff, including who has access in Ceres to which reporting functions. ",,,"Services Provided
Population
Financial",,,,,,,Administrators,,,Other federal restriction,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
State Health Care Expenditure Data by Provider Location,State Health Care Expenditure Data by Provider Location,Centers for Medicare and Medicaid Services (CMS) / ,,http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsProvider.html,,,,"Estimates of spending for all 50 states, by year and type of provider, based on provider location.",,,Financial,,1980 - 2009,,,,No,Policymakers,CSV - Comma Separated Text File,,,,,,Low,,,,,,,,,,Low,No,,Steven Kappel,,,,
Vermont Interagency White Paper on Autism Spectrum Disorders -Report to the ACT 264 Board,Vermont Interagency White Paper on Autism Spectrum Disorders -Report to the ACT 264 Board,"Department of Disabilities, Aging and Independent Living (DAIL) /  Division of Disability and Aging Services ",,http://www.ddas.vermont.gov/ddas-publications/publications-autism/publications-autism-documents/dds-autism-white-paper-march-2006,NA,,,"At the request of the Act 264 Advisory Board, the State Interagency Team was charged to<br />draft an interagency white paper to answer critical questions about autism in Vermont. In<br />June 2005, the Department of Education and the Department of Disabilities, Aging and<br />Independent Living hired autism specialists to address the needs of individuals with<br />autism spectrum disorders. The State Interagency Team delegated the writing of the<br />white paper to the two autism specialists.<br />The charge of the Act 264 board included questions to look at the current status of<br />meeting the needs of this increasing population and their families. Questions address:<br />current population, evidence-based practice, services provided by schools and social<br />service agencies, service gaps, current and projected needs, and family supports. The<br />autism specialists conducted a statewide assessment of supports in homes, schools, and<br />communities.<br />",,,Population,,2006,,,,,"Legislators
Advocates",,,,No,,,Low,,,,,,,,,,Low,No,,Bard Hill,,,,
OMNIA Interviewer For Consumer Assessments,OMNIA Interviewer For Consumer Assessments,"Department of Disabilities, Aging and Independent Living (DAIL) /  Division of Disability and Aging Services ",,http://www.ddas.vermont.gov/ddas-publications/manuals-guides/omnia-user-guide,Dick Laverty,,,"The OMNIA Interviewer is a software product from Synergy Software of Essex Junction, Vermont.<br />OMNIA Interviewer is part of the SAMS software suite that deals with assessment forms. It allows<br />assessments to be done independently of the SAMS database and then imported back into a SAMS<br />database if needed.",,,Unknown,,,,,,,Administrators,,operations management system,HIPPA,No,,,Low,,,,,,,,,,Low,No,,Bard Hill,,,,
LTC Consumer Satisfaction Survey,LTC Consumer Satisfaction Survey,"Department of Disabilities, Aging and Independent Living (DAIL) /  Division of Disability and Aging Services ",,http://www.ddas.vermont.gov/ddas-publications/publications-cfc/evaluation-reports-consumer-surveys/ltc-consumer-satisfaction-surveys/ltc-consumer-survey-2008,Bard HIll,,,Adult Day Services<br />Attendant Services Program,,,Survey,,"200,620,072,008",,,,,"Administrators
Policymakers","Report (PDF, Word)",,,No,,,Low,,,,,,,,,,Low,No,,Bard Hill,,,,
Vermont Adult Day Provider Reports,Vermont Adult Day Provider Reports,"Department of Disabilities, Aging and Independent Living (DAIL) /  Division of Disability and Aging Services ",,http://www.ddas.vermont.gov/ddas-publications/publications-adult-day/publications-adult-day-documents/adult-day-qtrly-statistics-annual-report,Kathy Rainville,,,Compilation of Provider Submitted Reports ,,,Financial,,2004-2015,,,,"Aggregate data only, report format",,"CSV - Comma Separated Text File
Report (PDF, Word)",,,No,,,Low,,,,,,,,,,Low,No,,Barbara Patterson,,,,
DAIL-DDAS Service Codes and Rates,DAIL-DDAS Service Codes and Rates,"Department of Disabilities, Aging and Independent Living (DAIL) /  Division of Disability and Aging Services ",,http://www.ddas.vermont.gov/ddas-publications/publications-dds/dail-asd-ddsd-service-codes-and-rates,"Megan Tierney-Ward, Tara Grenier",,,"Adult Day Services<br />Service Codes and Rates for all DAIL-DDAS services, includes Choices for Care, Adult Day services, Traumatic Brain Injury and Developmental Disabilities Services, Children's Personal Care and High Technology Home Care, and services for Older Vermonters.",,,Financial,,,,,,,Administrators,"Report (PDF, Word)",,,No,,,Low,,,,,,,,,,Low,No,,Bard Hill,,,,
SURVEY OF ADULTS RECEIVING DEVELOPMENTAL DISABILITIES SERVICES IN VERMONT,SURVEY OF ADULTS RECEIVING DEVELOPMENTAL DISABILITIES SERVICES IN VERMONT,"Department of Disabilities, Aging and Independent Living (DAIL) /  Division of Disability and Aging Services ",,http://www.ddas.vermont.gov/ddas-publications/publications-dds/publications-dds-documents/dds-publications-satisfaction-reports/consumer-survey-rpt-2014,June Bascom,,,This Report describes findings from a survey of adults receiving developmental disabilities<br />services across Vermont. The survey was conducted by members of the Vermont Consumer<br />Survey Project in the spring of 2014.  the participants include consumers from a subset of the publicly-funded<br />agencies in Vermont that provide developmental disabilities services. ,,,Services Provided,,"201,120,122,014",,,,,"Administrators
Policymakers","Report (PDF, Word)",,,No,,,Low,,,,,,,,,,Low,No,,Barbara Patterson,,,,
Area Health Resource File,Area Health Resource File,Health Resources and Services Administration (HRSA) / ,,http://ahrf.hrsa.gov/,,,,"Wide range of health professional, health facility, population, and expenditure data for all US counties.",,,"Population
Provider Information
Financial",,varies,,,,,Policymakers,CSV - Comma Separated Text File,,,No,,,Low,,,,,,,,,,Low,No,,Lou McLaren,,,,
NPI (National Provider Identifier),NPI (National Provider Identifier),Centers for Medicare and Medicaid Services (CMS) / ,,http://nppes.viva-it.com/NPI_Files.html,,,,National identifier for all providers serving Medicare or Medicaid patients.  Includes both professional (both individual and organizational) and facility data. Data are updated monthly.,,,Provider Information,,Current,,,,No,Policymakers,,,,,,,Low,,,,,,,,,,Low,No,,Steven Kappel,,,,
Provider of Service,Provider of Service,Centers for Medicare and Medicaid Services (CMS) / ,,http://www.cms.gov/Research-Statistics-Data-and-Systems/Downloadable-Public-Use-Files/Provider-of-Services/index.html,,,,"Detailed information on hospitals, nursing homes, home health agencies, labs, etc. for all states",,,Provider Information,,2006 - 2013,,,,No,Policymakers,,,,,,,Low,,,,,,,,,,Low,No,,Steven Kappel,,,,
Medicare Enrollment Data,Medicare Enrollment Data,Centers for Medicare and Medicaid Services (CMS) / ,,https://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/MedicareEnrpts/index.html?redirect=/medicareenrpts/,,,,"Medicare enrollment by geography (state, county), by eligibility (age, disability) and by coverage (Part A, Part B, both)",,,Coverage,,1985 to current year-3,,,,"Aggregate data only, report format","Administrators
Policymakers","Report (PDF, Word)",,,No,,,Low,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Developmental Services participant 'master list',Developmental Services participant 'master list',"Department of Disabilities, Aging and Independent Living (DAIL) /  Division of Disability and Aging Services ",,,June Bascom,,,Developmental Services participant ‘master list’,,,Unknown,,,,,,,,,,,No,,,Unknown,,,,,,,,,,Low,No,,Bard Hill,,,,
State Health Care Expenditure Data by Residence ,State Health Care Expenditure Data by Residence ,Centers for Medicare and Medicaid Services (CMS) / ,,http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/NationalHealthExpendData/NationalHealthAccountsStateHealthAccountsResidence.html,,,,"Estimates of health care spending for all 50 states, by patient state of residence",,,Financial,,1991-2009,,,,No,Policymakers,CSV - Comma Separated Text File,,,,,,Low,,,,,,,,,,Low,No,,Steven Kappel,,,,
Vermont Employment and Wage Data,Vermont Employment and Wage Data,Department of Labor / ,,http://www.vtlmi.info/wageincome.cfm,,,,,,,Employment and Wages,,2000 to current,,,,No,,Web Application - Public,,,,,,Low,,,,,,,,,,Low,No,,Steven Kappel,,,,
Standard Survey and Investigation Results - DLP Registry,Standard Survey and Investigation Results - DLP Registry,"Department of Disabilities, Aging and Independent Living (DAIL) / Division of Licensing & Protection",,http://www.dlp.vermont.gov/license,Clayton Clark,,,"The Division of Licensing and Protection conducts a standard survey of each licensed nursing home on a periodic basis. A Statement of Findings or Statement of Deficient Practice is issued subsequent to that inspection, and these facility reports are public records.",,Aspen Suite [ACO/ACTS/ASEQ/QIS],"Licensing
Provider Information",,,,,,,"Administrators
Public","Report (PDF, Word)",,,No,,,Low,,,,,,,,,,Low,No,,Barbara Patterson,,,,
Vermont Recovery Network Participant Surveys,Vermont Recovery Network Participant Surveys,Vermont Recovery Network / ,,https://vtrecoverynetwork.org/data/index.php/34-vrndata/23-participant-survey,Mark Ames,vtrecoverynetwork@gmail.com,(802) 738-8998,"Those of us using VRN’s Participant Surveys make a sincere effort to distribute them to a representative sample of the people using our recovery centers. The people who use the centers at different times of the day need to be included if we are going to collect surveys from a truly<br />representative sample of our visitors. Each center has specific groups beyond our regular visitors who should be considered as a part of the visitor mix — people coming out of corrections or treatment, individuals on medication assisted treatment, etc. Please make a conscious effort to include them.<br />Because the Participant Survey is such an important source of data for evaluating how well the recovery centers are doing — as well as a key indicator of the characteristics of the individuals who are coming to the centers — it is crucial that we ensure, to the extent we can,<br />that the surveys are completed accurately and honestly. It is therefore important to select carefully and train one or more staff members or trusted volunteers who will administer the Survey.<br />Please note that all recovery centers are required, as a condition of their state funding, to administer and enter into the VRN database a minimum of eight (8) Participant Surveys per month, (25 per Quarter) for a total of at least one hundred (100) Participant Surveys per year.",,,Survey,,,,,,Yes,,,,,,,,Low,,,,,,,,,,Low,No,,David Healy,,,,
Vermont MONAHRQ database,Vermont MONAHRQ database,Department of Health (AHS) / Division of Health Surveillance,,http://healthvermont.gov/hc/hospitalreportcard/MONAHRQ/index.html,Terri Hata,teri.hata@state.vt.us,(802) 657-4209,consumers and health care professionals can review annually updated hospital quality ratings and performance statistics.,,Vermont Uniform Hospital Discharge Data Set (VUHDDS)  Public Use Files,"Survey
Services Provided
Financial",,,,,,Yes,,Web Application - Restricted Access,,,,,,Unknown,,,,,,,,,,Low,No,,Barbara Patterson,,,,
Spreadsheets tracking approved services/costs for Developmental Services participants,Spreadsheets tracking approved services/costs for Developmental Services participants,"Department of Disabilities, Aging and Independent Living (DAIL) /  Business Office",,,Jim Euber,,,Spreadsheets tracking approved services/costs for Developmental Services participants,,,Unknown,,,,,,No access to data,,,,,No,,,Unknown,,,,,,,,,,Low,No,,Barbara Patterson,,,,
Home health agency financial and service reports ,Home health agency financial and service reports ,"Department of Disabilities, Aging and Independent Living (DAIL) /  Business Office",,,Bill Kelly,,,Home health agency financial and service reports  (inconsistent cost centers and cost allocations),,,"Services Provided
Financial",,,,,,No access to data,,,,,No,,,Unknown,,,,,,,,,,Low,No,,Barbara Patterson,,,,
Harmony SAMS (includes OMNIA and HAR; produces annual federal SPR/NAPIS reports)),Harmony SAMS (includes OMNIA and HAR; produces annual federal SPR/NAPIS reports)),"Department of Disabilities, Aging and Independent Living (DAIL) /  Division of Disability and Aging Services ",,http://www.ddas.vermont.gov/ddas-publications/publications-cfc/cfc-provider-manual-sams-omnia/view?searchterm=harmony,"Bouthillette, John",john.bouthillette@state.vt.us,,"Data collection and records management for Adult Protective Services.<br />SAMS (Social Assistance Management System) is a proprietary database system developed & owned<br />by Harmony Information Systems.  SAMS is where Consumer, Program, Assessment and Service information is stored. OMNIA is additional software that allows DAIL to create assessment forms and users to export an<br />assessment",,,"Services Provided
Population",,,,,,No access to data,,,,,No,,,Unknown,No documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Traumatic Brain Injury Program - Harmony SAMS,Traumatic Brain Injury Program - Harmony SAMS,"Department of Disabilities, Aging and Independent Living (DAIL) /  Division of Disability and Aging Services ",,http://www.ddas.vermont.gov/ddas-programs/programs-cfc/vt-sams-3-reference-manual-v1.9-1/view?searchterm=harmony,Andre Courcelle,,,Traumatic Brain Injury Program - Harmony SAMS,,,"Unknown
Population
Clinical",,2012 and thereafter,,,,,,,,,No,,,Unknown,,,,,,,,,,Low,No,,Bard Hill,,,,
Quality review data,Quality review data,"Department of Disabilities, Aging and Independent Living (DAIL) /  Division of Disability and Aging Services ",,,Chris O'Neill,,,Quality review data at DAIL Division of  Developmental Services,,,Unknown,,,,,,,,,,,No,,,Unknown,,,,,,,,,,Low,No,,Bard Hill,,,,
Critical Incident Reporting ,Critical Incident Reporting ,"Department of Disabilities, Aging and Independent Living (DAIL) /  Division of Disability and Aging Services ",,,"Camille George (DS), Matt Corjay (CFC/MFP)",camille.george@state.vt.us,,Critical Incident Reporting ,,,Unknown,,,,,,,,CSV - Comma Separated Text File,,,No,,,Unknown,,,,,,,,,,Low,No,,Bard Hill,,,,
Flexible Family Funding participant spreadsheet,Flexible Family Funding participant spreadsheet,"Department of Disabilities, Aging and Independent Living (DAIL) /  Division of Disability and Aging Services ",,,Camille George,,,Flexible Family Funding participant spreadsheet,,,"Unknown
Financial",,,,,,,,,,,No,,,Unknown,,,,,,,,,,Low,No,,Bard Hill,,,,
"Provider (Nursing Home, Home Health, Other Residential Facilities) Licensing","Provider (Nursing Home, Home Health, Other Residential Facilities) Licensing","Department of Disabilities, Aging and Independent Living (DAIL) / Division of Licensing & Protection",,http://www.dlp.vermont.gov/license,Clayton Clark,,,"Provider (nursing home, home health, other residential facilities) licensing",,,"Licensing
Provider Information",,,,,,"Aggregate data only, report format",Public,,,,No,,,Unknown,,,,,,,,,,Low,No,,Barbara Patterson,,,,
Harmony APS (Adult Protective Services) dataset,Harmony APS (Adult Protective Services) dataset,"Department of Disabilities, Aging and Independent Living (DAIL) / Division of Licensing & Protection",,,Clayton Clark,,,Harmony APS (Adult Protective Services) dataset,,,"Population
Clinical",,,,,,,,,,,No,,,Unknown,,,,,,,,,,Low,No,,Bard Hill,,,,
Home Health Agency Outcome and Assessment Information Set (OASIS) Dataset,Home Health Agency Outcome and Assessment Information Set (OASIS) Dataset,"Department of Disabilities, Aging and Independent Living (DAIL) / Division of Licensing & Protection",,,CMS; SOV contact Clayton Clark,,,Home Health Agency Outcome and Assessment Information Set (OASIS) dataset,,,Clinical,,,,,,,,,,,No,,,Unknown,,,,,,,,,,Low,No,,Bard Hill,,,,
Nursing Home Minimum Dataset (MDS),Nursing Home Minimum Dataset (MDS),"Department of Disabilities, Aging and Independent Living (DAIL) / Division of Licensing & Protection",,,CMS; SOV contact Clayton Clark,,,Nursing home minimum dataset ,,,"Inspection
Licensing",,,,,,,,,,,No,,,Unknown,,,,,,,,,,Low,No,,Bard Hill,,,,
Hospital Quality Ratings and Statistics,Hospital Quality Ratings and Statistics,Department of Health (AHS) / Division of Health Surveillance,,http://healthvermont.gov/hc/hospitalreportcard/hospital_quality.aspx,Terri Hata,,,Multiple reports,,,Survey,,,,,,,,,,,,,,Unknown,,,,,,,,,,Low,No,,Barbara Patterson,,,,
Vermont Prescription Monitoring System (VPMS),Vermont Prescription Monitoring System (VPMS),Department of Health (AHS) / Division of Alcohol and Drug Abuse Programs (ADAP),,http://healthvermont.gov/adap/VPMS_datarequests.aspx,Meika DiPietro,,,"The Vermont Prescription Monitoring System helps track the prescribing and dispensing of controlled substances — those drugs most likely to lead to abuse, addiction or patient harm if they are not used properly.<br /><br />Only licensed health care providers and pharmacists, registered with the U.S. Drug Enforcement Agency, and registered with the VPMS, will have access to information in the database.<br /><br />Data is entered directly by pharmacies for all dispensed controlled substances.  Data is then processed by a contractor into flat files for use by the health department.",,,"Unknown
Services Provided",,"2010 - Present, Data enters the warehouse database as it is collected from pharmacies at least once every seven days.",,,,No access to data,,Web Application - Restricted Access,,,No,,,Unknown,,,,,,,,,,Low,No,,Barbara Patterson,,,,
Asthma Surveillance,Asthma Surveillance,Department of Health (AHS) / Division of Health Surveillance,,http://healthvermont.gov/research/asthma/asthma_surv.aspx#reports,"Maria Roemhildt, PhD.",maria.roemhildt@state.vt.us,(802) 951-4067,"The Vermont Asthma Program is funded by the Centers for Disease Control and Prevention (CDC) to create an asthma prevention program and surveillance system.  Surveillance is the ongoing systematic collection, analysis, and interpretation of asthma-related data for use in planning, implementation, and evaluation of public health practice. Asthma surveillance data will help direct and inform Asthma Program activities as well as provide information to the public about asthma in their communities. ",,"Vermont Uniform Hospital Discharge Data Set (VUHDDS)  Public Use Files
 Asthma Call Back Survey (ACBS)
Behavioral Risk Factor Surveillance System (BRFSS)",Surveillance,,,,,,,,"Report (PDF, Word)",,,No,,,Unknown,,,,,,,,,,Low,No,,Charlie Hofmann,,,,
Vermont Electronic Death Registration System (EDRS),Vermont Electronic Death Registration System (EDRS),Department of Health (AHS) / ,,http://www.healthvermont.gov/hc/EDRS/index.aspx,,,,"VT licensed medical professionals, VT licensed funeral directors, and Vital Records staff use the application to create and print death certificates for all persons who die in Vermont.  Such records can then be updated via the correction or amendment process.  In addition, information from transcripts for resident deaths that occur in other states is data entered by Vital Records staff so that information can be used for statistical analyses.",,,Clinical,,,,,,,,Web Application - Restricted Access,,,No,,,Unknown,Full current documentation,,,,,,,,,Low,No,,Barbara Patterson,,,,
Critical Congenital Heart Disease Newborn Screening,Critical Congenital Heart Disease Newborn Screening,Department of Health (AHS) / Division of Maternal and Child Health,,http://healthvermont.gov/family/cchd/index.aspx#more,Cindy Ingham,,(802) 951-5180,The Vermont Department of Health is committed to assisting hospitals and primary care providers to develop effective Pulse Oximetry Screening programs.,,,"Population
Clinical",Clinical Record,,,,,,,,,,No,,,Unknown,,,,,,,,,,Low,No,,Barbara Patterson,,,,
Newborn Hearing Screening,Newborn Hearing Screening,Department of Health (AHS) / Division of Maternal and Child Health,,http://healthvermont.gov/family/hearing/#newborn,Cindy Ingham,,,"All Vermont birthing hospitals provide hearing screenings to babies born at or admitted to their facility prior to discharge.<br /><br />Most hospitals offer outpatient hearing screenings for newborns that were not screened, did not pass the first screening or were born at home. Licensed midwives and some primary care providers also provide initial or repeat newborn hearing screenings.<br />Screening results are accessed via a secure login for providers",,,Youth,Clinical Record,,,,,,,Web Application - Restricted Access,,,No,,,Unknown,,,,,,,,,,Low,No,,Barbara Patterson,,,,
HIV Name-Based Reporting,HIV Name-Based Reporting,Department of Health (AHS) / ,,http://healthvermont.gov/prevent/aids/Name_reporting.aspx,,,,"Name-based reporting is the system all states use for AIDS diagnoses. Vermont was one of four states that used a different system for reporting HIV diagnoses. At the strong urging of the Centers for Disease Control and Prevention, and of the Health Resources and Services Administration, Vermont has joined the remaining states in switching to HIV name-based reporting.Currently, in name-based reporting of AIDS cases, patient names are forwarded to the Health Department by health care providers when AIDS is diagnosed.<br />With the current system for AIDS diagnoses, patient names are kept secure and confidential at the state’s Health Department. No patient names are forwarded to the federal government. Instead, the Health Department generates an alphanumeric code to accompany data forwarded to federal health agencies.",,,"Population
Clinical",Clinical Record,,,,,,,,,,,,,Unknown,,,,,,,,,,Low,,,,,,,
HIV Surveillance,HIV Surveillance,Department of Health (AHS) / Division of Health Surveillance,,http://healthvermont.gov/prevent/aids/hiv_surveillance.aspx#publications,Daniel Daltry,,,"HIV surveillance is the process of collecting, analyzing, and interpreting data on individuals infected with HIV (human immunodeficiency virus), the virus that causes AIDS. This data includes information such as age, gender, county of residence, and date of onset of the disease.",,,Population,,,,,,,,,,,No,,,Unknown,,,,,,,,,,Low,,,Barbara Patterson,,,,
Vermont Cancer Registry,Vermont Cancer Registry,Department of Health (AHS) / Division of Health Surveillance,,http://healthvermont.gov/research/cancer_registry/registry.aspx,Ali Johnson,ali.johnson@state.vt.us,(802) 865-7749,"The Vermont Cancer Registry (VCR) is Vermont’s statewide population-based cancer surveillance system. The registry collects information about all cancers (except non-melanoma skin cancers and carcinoma in situ of the cervix) and all benign brain tumors diagnosed in Vermont.  VCR is part of a statewide effort to reduce the impact of cancer on individuals, families and communities in Vermont .",,,Population,"Population
Survey",1994-2010,,,,No access to data,,Web Application - Restricted Access,,,No,,,Unknown,,,,,,,,,,Low,No,,Barbara Patterson,,,,
Student Assistance Program Data and Reports,Student Assistance Program Data and Reports,Department of Health (AHS) / Division of Alcohol and Drug Abuse Programs (ADAP),,http://www.healthvermont.gov/adap/clearinghouse/publications.aspx#SAP,Kelly LaMonda/ Amy Danielson,,,"The Student Assistance Program (SAP) is an evidence-based wellness program that provides substance abuse prevention and<br />intervention services to all students in the school through formal educational presentations and informal SAP interactions with<br />students, staff, teachers, families, and the general school community in order to delay the age of first use of substances. ",,,"Youth
Services Provided",Population,"2009-2010, maybe others",,,,Aggregate data only,,"Report (PDF, Word)",,,No,,,Unknown,,,,,,,,,,Low,No,,Charlie Hofmann,,,,
National Survey on Drug Use and Health Vermont Data,National Survey on Drug Use and Health Vermont Data,Department of Health (AHS) / Division of Alcohol and Drug Abuse Programs (ADAP),,http://www.healthvermont.gov/adap/clearinghouse/documents/nsduh_report_vermont_201501.pdf,,,,National Survey on Drug Use and Health Vermont Data,,,"Survey
Population",,,,,,,,,,,,,,Unknown,,,,,,,,,,Low,,,,,,,
New Directions Evaluation Documents,New Directions Evaluation Documents,Department of Health (AHS) / Division of Alcohol and Drug Abuse Programs (ADAP),,http://www.healthvermont.gov/adap/prevention/new_directions.aspx,,,,One important measure of the success of projects such as New Directions is a reduction<br />in the prevalence of youth substance use in participating communities. Data from the<br />statewide Youth Risk Behavior Survey was used to assess this goal. ,,,"Youth
Survey",,,,,,,,,,,,,,Unknown,,,,,,,,,,Low,,,,,,,
